line,folktale.ID,transcription,gloss,english,japanese,,
1.1,K7708241UP,pakno nispa isam nispa a= ne hine an =an pe ne hike,till-ADV rich.man not.exist rich.man 4.A= COP and exist.SG =4.S NMLZ COP but,"I am a rich man, richer than anyone else",私は並ぶもののない⻑者であった。,,
1.2,K7708241UP,ekimne =an kor yuk ne ciki kamuy ne ciki nuwe a= koan.,go.to.the.mountains =4.S when/if deer COP if bear COP if abundant.game 4.A= to.APPL-exist.SG,"When I go to the mountains, I capture lots of deer and bears",⼭へ⾏けばシカでもクマでもたくさん捕ってくる。,,
1.3,K7708241UP,uturu ta atuy teksam ta san =an wa peray =an ne ya,space/time.interval-POSS at sea/ocean near at front.place-INTR.SG =4.S and fish =4.S COP Q,I also go down to the seashore to fish,その合間に海岸に下りては釣りをしたりして、,,
1.4,K7708241UP,repotcikoykip yaotcikoykip nuwe a= koan pe ne kor,open.sea-live.in-game land-live.in-game abundant.game 4.A= to.APPL-exist.SG NMLS COP and,I’ve hauled in lots of things from the ocean and I’ve caught many things in the mountains,海の獲物も⼭の獲物もたくさん捕っていた。,,
1.5,K7708241UP,sine ar suy ne suy pis ta san =an h_ine peray =an kor an =an akusu,one one/half times COP again beach at front.place-INTR.SG =4.S and fish =4.S and exist.SG =4.S then,"One day, when I was down on the beach fishing,",ある⽇、また浜に下りて釣りをしていると、,,
1.6,K7708241UP,sirar ka ta oni an,large.rock top at devil exist.SG,there was a demon up on one of the rocks,岩の上に⻤がいた。,,
1.7,K7708241UP,oni peray kor an h_ine,devil fish and exist.SG and,The demon was fishing,⻤は釣りをしていた。,,
1.8,K7708241UP,pirka upen kam a= pa siri an.,be.good be.young meat 4.A= find VIS.EV exist.SG,"[He said,] “I’ve found some delicious young meat.""",「うまそうな若い⾁をみつけたぞ」,,
1.9,K7708241UP,sekor hawean kor ek korka,QUOT voice-POSS-exist.SG and come.SG but,"While saying this, the demon came toward me",⻤はそう⾔いながらやってきたが、,,
1.10.,K7708241UP,kira =an ka eaykap pe ne kusu,escape =4.S even about-APPL-be.unable NMLZ COP because,"Since it wasn’t possible to escape,",逃げることもできないので、,,
1.11,K7708241UP,neno an =an wa an =an akusu,like.this exist.SG =4.S and exist.SG =4.s then,"I stood still,",そのままいたところ、,,
1.12,K7708241UP,i= uk h_ine,4.O= take.SG and,"he caught me,",私をつかまえて、,,
1.13,K7708241UP,orano cip or omare,then boat place enter-CAUS,and put me in his boat,⾈の中に⼊れた。,,
1.14,K7708241UP,i= omare hine i= kusa hine hinak ta paye =an akusu,4.O= enter-CAUS and 4.O= take.by.boat-TR.SG and where at go.PL =4.S then,"Carrying me in his boat,",私を乗せて⾈で運んでどこやらに⾏くと、,,
1.15,K7708241UP,poru an h_ine,cave exist.SG and,we came to a cavern,洞窟があって、,,
1.16,K7708241UP,poru or_ ta ahup =an ruwe ne akusu,cave place at inside.house-INTR.PL =4.S INFR.EV COP then,"and as we went in to the cavern,",その洞窟の中に⼊っていくと、,,
1.17,K7708241UP,pon oni an ruwe ne hine,be.small devil exist.SG INFR.EV COP and,there was a little demon there,⼩⻤がいた。,,
1.18,K7708241UP,a= kor pon oni,4.A= have be.small devil,"“My little demon,",「私の⼩⻤よ。,,
1.19,K7708241UP,upen kam a= pa wa ek =an ruwe ne na,be.young meat 4.A= find and come.SG =4.S INFR.EV COP SGST,"I’ve found some fresh, young meat",若い⾁を⾒つけてきたぞ。,,
