line,folktale.ID,structure,small.story
1.1,K7708241UP,abstract,no
1.2,K7708241UP,abstract,no
1.3,K7708241UP,abstract,no
1.4,K7708241UP,abstract,no
1.5,K7708241UP,orientation,no
1.6,K7708241UP,orientation,no
1.7,K7708241UP,orientation,no
1.8,K7708241UP,orientation,no
1.9,K7708241UP,main.action,no
1.10.,K7708241UP,narrow.frame,no
1.11,K7708241UP,orientation,no
1.12,K7708241UP,narrow.frame,no
1.13,K7708241UP,narrow.frame,no
1.14,K7708241UP,orientation,no
1.15,K7708241UP,orientation,no
1.16,K7708241UP,orientation,no
1.17,K7708241UP,narrow.frame,no
1.18,K7708241UP,orientation,no
1.19,K7708241UP,orientation,no
1.20.,K7708241UP,orientation,no
1.21,K7708241UP,orientation,no
1.22,K7708241UP,orientation,no
1.23,K7708241UP,orientation,no
1.24,K7708241UP,orientation,no
1.25,K7708241UP,orientation,no
1.26,K7708241UP,orientation,no
1.27,K7708241UP,orientation,no
1.28,K7708241UP,orientation,no
1.29,K7708241UP,orientation,no
1.30.,K7708241UP,narrow.frame,no
1.31,K7708241UP,narrow.frame,no
1.32,K7708241UP,narrow.frame,no
1.33,K7708241UP,narrow.frame,no
1.34,K7708241UP,narrow.frame,no
1.35,K7708241UP,narrow.frame,no
1.36,K7708241UP,narrow.frame,no
1.37,K7708241UP,narrow.frame,no
1.38,K7708241UP,narrow.frame,no
1.39,K7708241UP,narrow.frame,no
1.40.,K7708241UP,narrow.frame,no
1.41,K7708241UP,narrow.frame,no
1.42,K7708241UP,narrow.frame,no
1.43,K7708241UP,narrow.frame,no
1.44,K7708241UP,narrow.frame,no
1.45,K7708241UP,orientation,no
1.46,K7708241UP,orientation,no
1.47,K7708241UP,orientation,no
1.48,K7708241UP,orientation,no
1.49,K7708241UP,narrow.frame,no
1.50.,K7708241UP,narrow.frame,no
1.51,K7708241UP,orientation,no
1.52,K7708241UP,orientation,no
1.53,K7708241UP,narrow.frame,no
1.54,K7708241UP,narrow.frame,no
1.55,K7708241UP,narrow.frame,no
1.56,K7708241UP,narrow.frame,no
1.57,K7708241UP,narrow.frame,no
1.58,K7708241UP,narrow.frame,no
1.59,K7708241UP,narrow.frame,no
1.60.,K7708241UP,narrow.frame,no
1.61,K7708241UP,narrow.frame,no
1.62,K7708241UP,narrow.frame,no
1.63,K7708241UP,narrow.frame,no
1.64,K7708241UP,orientation,no
1.65,K7708241UP,orientation,no
1.66,K7708241UP,orientation,no
1.67,K7708241UP,orientation,no
1.68,K7708241UP,orientation,no
1.69,K7708241UP,orientation,no
1.70.,K7708241UP,narrow.frame,no
1.71,K7708241UP,narrow.frame,no
1.72,K7708241UP,narrow.frame,no
1.73,K7708241UP,narrow.frame,no
1.74,K7708241UP,narrow.frame,no
1.75,K7708241UP,orientation,no
1.76,K7708241UP,orientation,no
1.77,K7708241UP,main.action,no
1.78,K7708241UP,main.action,no
1.79,K7708241UP,main.action,no
1.80.,K7708241UP,main.action,no
1.81,K7708241UP,orientation,no
1.82,K7708241UP,orientation,no
1.83,K7708241UP,orientation,no
1.84,K7708241UP,main.action,no
1.85,K7708241UP,main.action,no
1.86,K7708241UP,main.action,no
1.87,K7708241UP,main.action,no
1.88,K7708241UP,main.action,no
1.89,K7708241UP,evaluation,no
1.90.,K7708241UP,orientation,yes
1.91,K7708241UP,orientation,no
1.92,K7708241UP,orientation,no
1.93,K7708241UP,orientation,no
1.94,K7708241UP,narrow.frame,no
1.95,K7708241UP,orientation,no
1.96,K7708241UP,narrow.frame,no
1.97,K7708241UP,orientation,no
1.98,K7708241UP,orientation,yes
1.99,K7708241UP,orientation,no
1.100.,K7708241UP,narrow.frame,yes
1.101,K7708241UP,narrow.frame,yes
1.102,K7708241UP,narrow.frame,yes
1.103,K7708241UP,narrow.frame,yes
1.104,K7708241UP,narrow.frame,yes
1.105,K7708241UP,narrow.frame,yes
1.106,K7708241UP,narrow.frame,yes
1.107,K7708241UP,narrow.frame,yes
1.108,K7708241UP,narrow.frame,yes
1.109,K7708241UP,narrow.frame,yes
1.110.,K7708241UP,orientation,yes
1.111,K7708241UP,orientation,yes
1.112,K7708241UP,orientation,yes
1.113,K7708241UP,main.action,yes
1.114,K7708241UP,main.action,yes
1.115,K7708241UP,main.action,yes
1.116,K7708241UP,main.action,yes
1.117,K7708241UP,orientation,yes
1.118,K7708241UP,main.action,yes
1.119,K7708241UP,main.action,yes
1.120.,K7708241UP,main.action,yes
